Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,115914.11025 ms,30.13104 ms,31.90405 ms,1017.86846 ms²,95% with bounds 29.12287 ms - 31.13921 ms,3.04046 ms,18.08404 ms,50.72383 ms,124.49125 ms,0.42171 ms,124.91296 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,115872.61057 ms,30.12025 ms,31.86481 ms,1015.36606 ms²,95% with bounds 29.11332 ms - 31.12718 ms,3.04213 ms,18.64992 ms,50.79467 ms,113.52429 ms,0.42121 ms,113.94550 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,115973.91675 ms,30.14659 ms,31.89587 ms,1017.34658 ms²,95% with bounds 29.13868 ms - 31.15450 ms,3.04296 ms,19.34738 ms,50.42446 ms,120.23446 ms,0.42304 ms,120.65750 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,116510.74468 ms,30.28613 ms,32.07554 ms,1028.84025 ms²,95% with bounds 29.27254 ms - 31.29972 ms,3.04246 ms,22.37063 ms,50.56042 ms,139.00158 ms,0.42142 ms,139.42300 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,116208.33852 ms,30.20752 ms,31.89704 ms,1017.42085 ms²,95% with bounds 29.19958 ms - 31.21547 ms,3.04296 ms,22.37421 ms,50.72629 ms,132.90746 ms,0.42108 ms,133.32854 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,116689.90775 ms,30.33270 ms,31.98710 ms,1023.17432 ms²,95% with bounds 29.32191 ms - 31.34349 ms,3.04258 ms,22.36546 ms,50.76313 ms,122.17267 ms,0.42446 ms,122.59713 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,116786.24296 ms,30.35774 ms,32.05348 ms,1027.42542 ms²,95% with bounds 29.34485 ms - 31.37063 ms,3.04083 ms,22.30608 ms,50.87733 ms,123.13758 ms,0.42158 ms,123.55917 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,116263.12288 ms,30.22176 ms,32.05569 ms,1027.56731 ms²,95% with bounds 29.20880 ms - 31.23472 ms,3.04167 ms,19.43388 ms,50.32992 ms,133.27208 ms,0.42138 ms,133.69346 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,116097.23268 ms,30.17864 ms,31.93589 ms,1019.90090 ms²,95% with bounds 29.16947 ms - 31.18782 ms,3.04146 ms,20.15983 ms,50.66200 ms,130.53992 ms,0.42125 ms,130.96117 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,115820.85077 ms,30.10680 ms,31.89589 ms,1017.34768 ms²,95% with bounds 29.09889 ms - 31.11471 ms,3.04071 ms,18.40375 ms,50.46288 ms,125.44867 ms,0.42175 ms,125.87042 ms,
