Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,291492.02988 ms,75.77126 ms,2.79007 ms,7.78450 ms²,95% with bounds 75.68309 ms - 75.85942 ms,73.35175 ms,74.87713 ms,77.81192 ms,23.94179 ms,71.50025 ms,95.44204 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,291821.46121 ms,75.85689 ms,2.93758 ms,8.62940 ms²,95% with bounds 75.76406 ms - 75.94972 ms,73.31696 ms,74.90304 ms,77.99283 ms,24.79688 ms,71.53300 ms,96.32988 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,83754.44064 ms,21.77136 ms,2.94072 ms,8.64784 ms²,95% with bounds 21.67844 ms - 21.86429 ms,19.18750 ms,20.69158 ms,24.01871 ms,28.27763 ms,18.38571 ms,46.66333 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,78847.87706 ms,20.49594 ms,2.55408 ms,6.52331 ms²,95% with bounds 20.41523 ms - 20.57665 ms,19.08400 ms,19.11946 ms,20.63258 ms,24.36288 ms,18.49283 ms,42.85571 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,76941.05110 ms,20.00027 ms,2.03638 ms,4.14685 ms²,95% with bounds 19.93592 ms - 20.06462 ms,19.08475 ms,19.12863 ms,19.35196 ms,18.84458 ms,18.39738 ms,37.24196 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,76839.72124 ms,19.97393 ms,1.98826 ms,3.95318 ms²,95% with bounds 19.91110 ms - 20.03676 ms,19.08158 ms,19.12542 ms,19.29796 ms,16.46183 ms,18.30346 ms,34.76529 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,82246.20727 ms,21.37931 ms,3.94340 ms,15.55043 ms²,95% with bounds 21.25470 ms - 21.50392 ms,19.03313 ms,19.06100 ms,23.04471 ms,22.92804 ms,18.36129 ms,41.28933 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,96584.90372 ms,25.10655 ms,3.68849 ms,13.60499 ms²,95% with bounds 24.99000 ms - 25.22311 ms,22.18917 ms,25.44842 ms,26.98508 ms,23.71671 ms,18.39896 ms,42.11567 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,87166.48667 ms,22.65830 ms,2.77313 ms,7.69025 ms²,95% with bounds 22.57067 ms - 22.74593 ms,20.33454 ms,22.26025 ms,24.29454 ms,20.90942 ms,18.35642 ms,39.26583 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,85515.64745 ms,22.22918 ms,2.82417 ms,7.97595 ms²,95% with bounds 22.13993 ms - 22.31842 ms,19.53583 ms,22.01596 ms,24.30575 ms,19.49008 ms,18.48096 ms,37.97104 ms,
