Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,110132.95322 ms,28.62827 ms,29.95096 ms,897.05981 ms²,95% with bounds 27.68182 ms - 29.57472 ms,3.03058 ms,22.35842 ms,48.51038 ms,118.14038 ms,0.42000 ms,118.56038 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,110237.04893 ms,28.65533 ms,29.87959 ms,892.79009 ms²,95% with bounds 27.71113 ms - 29.59952 ms,3.03171 ms,22.34133 ms,48.95346 ms,118.55821 ms,0.42042 ms,118.97863 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,110480.38282 ms,28.71858 ms,29.97614 ms,898.56901 ms²,95% with bounds 27.77134 ms - 29.66583 ms,3.03188 ms,22.32625 ms,48.87979 ms,117.85929 ms,0.42058 ms,118.27988 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,110807.30800 ms,28.80356 ms,30.07510 ms,904.51178 ms²,95% with bounds 27.85319 ms - 29.75394 ms,3.03392 ms,22.31054 ms,48.28554 ms,117.63796 ms,0.42204 ms,118.06000 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,109997.66672 ms,28.59310 ms,29.89855 ms,893.92347 ms²,95% with bounds 27.64831 ms - 29.53790 ms,3.03313 ms,16.73779 ms,48.55158 ms,118.68275 ms,0.42158 ms,119.10433 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,110017.15134 ms,28.59817 ms,29.97875 ms,898.72556 ms²,95% with bounds 27.65084 ms - 29.54550 ms,3.03096 ms,16.01413 ms,48.74363 ms,122.42242 ms,0.42029 ms,122.84271 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,110077.84476 ms,28.61394 ms,29.88234 ms,892.95421 ms²,95% with bounds 27.66966 ms - 29.55823 ms,3.03092 ms,16.65254 ms,48.76004 ms,117.76563 ms,0.42079 ms,118.18642 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,110280.35108 ms,28.66658 ms,30.03827 ms,902.29766 ms²,95% with bounds 27.71738 ms - 29.61579 ms,3.02988 ms,16.29292 ms,48.42613 ms,125.54446 ms,0.42058 ms,125.96504 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,110080.51018 ms,28.61464 ms,29.93103 ms,895.86683 ms²,95% with bounds 27.66882 ms - 29.56046 ms,3.03150 ms,17.58721 ms,48.12542 ms,119.56783 ms,0.42092 ms,119.98875 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,110207.81545 ms,28.64773 ms,29.90874 ms,894.53266 ms²,95% with bounds 27.70261 ms - 29.59285 ms,3.03100 ms,22.35908 ms,48.38771 ms,117.45758 ms,0.42121 ms,117.87879 ms,
