Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,289245.42980 ms,75.18727 ms,2.62263 ms,6.87818 ms²,95% with bounds 75.10440 ms - 75.27015 ms,72.96092 ms,74.15942 ms,77.33363 ms,26.20842 ms,71.23667 ms,97.44508 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,289925.49650 ms,75.36405 ms,2.70901 ms,7.33872 ms²,95% with bounds 75.27844 ms - 75.44965 ms,73.03196 ms,74.40863 ms,77.48371 ms,32.56917 ms,71.35663 ms,103.92579 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,83408.87398 ms,21.68154 ms,2.76298 ms,7.63406 ms²,95% with bounds 21.59423 ms - 21.76885 ms,19.21663 ms,20.68742 ms,23.89121 ms,18.23208 ms,18.39729 ms,36.62938 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,77833.46745 ms,20.23225 ms,2.21630 ms,4.91200 ms²,95% with bounds 20.16222 ms - 20.30229 ms,19.10171 ms,19.13096 ms,19.82904 ms,19.48921 ms,18.43921 ms,37.92842 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,76060.04652 ms,19.77126 ms,1.77443 ms,3.14861 ms²,95% with bounds 19.71519 ms - 19.82733 ms,19.07921 ms,19.11129 ms,19.16971 ms,20.69333 ms,18.40058 ms,39.09392 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,76199.26269 ms,19.80745 ms,1.78376 ms,3.18180 ms²,95% with bounds 19.75108 ms - 19.86382 ms,19.07608 ms,19.10808 ms,19.18129 ms,14.94671 ms,18.42442 ms,33.37113 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,76967.10001 ms,20.00704 ms,2.25485 ms,5.08435 ms²,95% with bounds 19.93579 ms - 20.07830 ms,19.06717 ms,19.08842 ms,19.23442 ms,21.49300 ms,18.43658 ms,39.92958 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,95268.95898 ms,24.76448 ms,3.12793 ms,9.78397 ms²,95% with bounds 24.66564 ms - 24.86332 ms,22.34113 ms,25.44242 ms,26.25583 ms,20.22867 ms,18.43871 ms,38.66738 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,86433.52027 ms,22.46777 ms,2.61597 ms,6.84331 ms²,95% with bounds 22.38511 ms - 22.55044 ms,19.98825 ms,22.23604 ms,24.12504 ms,19.24554 ms,18.47492 ms,37.72046 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,85979.47096 ms,22.34975 ms,2.85403 ms,8.14550 ms²,95% with bounds 22.25956 ms - 22.43993 ms,19.54983 ms,22.16008 ms,24.53571 ms,17.23304 ms,18.46604 ms,35.69908 ms,
