Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,118177.02163 ms,30.71927 ms,33.07081 ms,1093.67843 ms²,95% with bounds 29.67423 ms - 31.76430 ms,3.03771 ms,22.12350 ms,50.83954 ms,140.51642 ms,0.42242 ms,140.93883 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,115791.12898 ms,30.09907 ms,31.98768 ms,1023.21183 ms²,95% with bounds 29.08826 ms - 31.10988 ms,3.03488 ms,18.00500 ms,50.58250 ms,118.82333 ms,0.42608 ms,119.24942 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,115272.70898 ms,29.96431 ms,31.73466 ms,1007.08866 ms²,95% with bounds 28.96150 ms - 30.96713 ms,3.03171 ms,18.21867 ms,50.26879 ms,113.74892 ms,0.42229 ms,114.17121 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,115671.24224 ms,30.06791 ms,31.83358 ms,1013.37703 ms²,95% with bounds 29.06197 ms - 31.07385 ms,3.03213 ms,17.74683 ms,50.27175 ms,125.09771 ms,0.42179 ms,125.51950 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,116170.35977 ms,30.19765 ms,31.86701 ms,1015.50602 ms²,95% with bounds 29.19065 ms - 31.20465 ms,3.03246 ms,22.24804 ms,50.72604 ms,116.11454 ms,0.42108 ms,116.53563 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,115125.70527 ms,29.92610 ms,31.58010 ms,997.30245 ms²,95% with bounds 28.92817 ms - 30.92403 ms,3.03092 ms,22.40379 ms,50.36567 ms,114.46588 ms,0.42367 ms,114.88954 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,115843.34085 ms,30.11264 ms,31.82802 ms,1013.02270 ms²,95% with bounds 29.10688 ms - 31.11841 ms,3.03104 ms,22.11000 ms,50.45063 ms,124.24679 ms,0.42171 ms,124.66850 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,116287.14955 ms,30.22801 ms,31.88017 ms,1016.34492 ms²,95% with bounds 29.22060 ms - 31.23542 ms,3.03183 ms,22.40679 ms,50.35983 ms,133.25854 ms,0.42046 ms,133.67900 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,116012.33564 ms,30.15657 ms,31.81386 ms,1012.12174 ms²,95% with bounds 29.15126 ms - 31.16189 ms,3.03171 ms,21.99000 ms,50.58658 ms,122.58917 ms,0.42133 ms,123.01050 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,115285.59635 ms,29.96766 ms,31.57840 ms,997.19519 ms²,95% with bounds 28.96978 ms - 30.96554 ms,3.03167 ms,18.76663 ms,50.47438 ms,119.35754 ms,0.42046 ms,119.77800 ms,
