Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,1935.65263 ms,0.50316 ms,0.74488 ms,0.55485 ms²,95% with bounds 0.47962 ms - 0.52670 ms,0.45304 ms,0.47025 ms,0.49883 ms,45.73475 ms,0.43825 ms,46.17300 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,1899.38441 ms,0.49373 ms,0.73907 ms,0.54622 ms²,95% with bounds 0.47038 ms - 0.51709 ms,0.45117 ms,0.47133 ms,0.48325 ms,45.40883 ms,0.43017 ms,45.83900 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,595.76908 ms,0.15487 ms,0.50898 ms,0.25906 ms²,95% with bounds 0.13878 ms - 0.17095 ms,0.12179 ms,0.13258 ms,0.15304 ms,31.43017 ms,0.11896 ms,31.54913 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,565.91815 ms,0.14711 ms,0.50140 ms,0.25140 ms²,95% with bounds 0.13126 ms - 0.16295 ms,0.12113 ms,0.12388 ms,0.13713 ms,30.99375 ms,0.11888 ms,31.11263 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,495.04912 ms,0.12868 ms,0.39810 ms,0.15849 ms²,95% with bounds 0.11610 ms - 0.14126 ms,0.11954 ms,0.12113 ms,0.12254 ms,24.61504 ms,0.11392 ms,24.72896 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,493.71096 ms,0.12834 ms,0.37018 ms,0.13704 ms²,95% with bounds 0.11664 ms - 0.14003 ms,0.11950 ms,0.12108 ms,0.12254 ms,22.87246 ms,0.11408 ms,22.98654 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,612.16702 ms,0.15913 ms,0.57029 ms,0.32523 ms²,95% with bounds 0.14111 ms - 0.17715 ms,0.11983 ms,0.12050 ms,0.14342 ms,35.11438 ms,0.11813 ms,35.23250 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,660.57271 ms,0.17171 ms,0.56759 ms,0.32215 ms²,95% with bounds 0.15378 ms - 0.18965 ms,0.11958 ms,0.12450 ms,0.18204 ms,34.80358 ms,0.11788 ms,34.92146 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,491.35095 ms,0.12772 ms,0.35716 ms,0.12756 ms²,95% with bounds 0.11644 ms - 0.13901 ms,0.11971 ms,0.12133 ms,0.12292 ms,22.16154 ms,0.11379 ms,22.27533 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,487.03946 ms,0.12660 ms,0.23975 ms,0.05748 ms²,95% with bounds 0.11903 ms - 0.13418 ms,0.11963 ms,0.12142 ms,0.12317 ms,14.76317 ms,0.11396 ms,14.87713 ms,
